;Age;Attrition;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PerformanceRating;RelationshipSatisfaction;TotalWorkingYears;TrainingTimesLastYear;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
357;21;Yes;Travel_Frequently;Sales;1;1;Technical Degree;1;Female;2;Sales Representative;2;Single;2174;1;Yes;3;3;3;3;3;2;1;2
358;36;No;Non-Travel;Sales;1;5;Medical;4;Female;3;Sales Executive;4;Single;6653;4;No;3;2;7;6;1;0;0;0
359;36;No;Travel_Frequently;Sales;3;4;Medical;1;Male;2;Sales Executive;4;Married;9699;4;No;3;1;16;2;13;9;1;12
360;57;No;Travel_Rarely;Research & Development;1;4;Medical;4;Male;3;Healthcare Representative;3;Married;6755;2;No;3;3;15;2;3;2;1;2
361;40;No;Travel_Rarely;Research & Development;10;4;Life Sciences;4;Female;4;Laboratory Technician;3;Married;2213;3;Yes;3;3;10;3;7;7;1;7
362;21;No;Non-Travel;Sales;9;2;Medical;1;Male;3;Sales Representative;4;Single;2610;1;No;4;3;3;3;3;2;2;2
363;33;Yes;Travel_Rarely;Sales;5;3;Marketing;4;Female;3;Sales Representative;3;Single;2851;1;Yes;3;2;1;2;1;0;0;0
364;37;No;Travel_Rarely;Research & Development;10;3;Medical;3;Female;3;Laboratory Technician;1;Married;3452;6;No;4;2;17;3;5;4;0;3
365;46;No;Non-Travel;Research & Development;7;4;Medical;3;Female;3;Manufacturing Director;3;Married;5258;2;No;3;3;7;2;1;0;0;0
366;41;Yes;Travel_Frequently;Sales;4;3;Marketing;1;Male;3;Sales Executive;2;Single;9355;1;No;3;3;8;5;8;7;7;7
367;50;No;Travel_Rarely;Research & Development;10;3;Technical Degree;4;Male;2;Healthcare Representative;4;Single;10496;6;No;3;4;20;2;4;3;1;3
368;40;Yes;Travel_Rarely;Sales;22;2;Marketing;3;Male;2;Sales Executive;3;Married;6380;2;Yes;3;1;8;6;6;4;1;0
369;31;No;Travel_Rarely;Research & Development;9;4;Life Sciences;3;Male;2;Research Scientist;2;Single;2657;0;Yes;3;4;3;5;2;2;2;2
370;21;Yes;Travel_Rarely;Sales;12;3;Life Sciences;3;Female;4;Sales Representative;2;Single;2716;1;No;3;4;1;0;1;0;0;0
371;29;No;Travel_Rarely;Research & Development;23;3;Life Sciences;4;Male;3;Research Scientist;4;Single;2201;9;No;3;4;6;4;3;2;1;2
372;35;No;Travel_Rarely;Research & Development;9;4;Life Sciences;3;Male;2;Healthcare Representative;2;Single;6540;9;No;3;3;10;5;1;1;0;0
373;27;No;Travel_Rarely;Research & Development;1;2;Medical;4;Male;3;Laboratory Technician;2;Divorced;3816;1;No;3;2;5;2;5;2;0;4
374;28;No;Travel_Rarely;Sales;9;4;Life Sciences;2;Male;3;Sales Executive;4;Single;5253;1;No;3;4;7;1;7;5;0;7
375;49;No;Travel_Rarely;Research & Development;7;3;Other;2;Male;2;Healthcare Representative;3;Single;10965;8;No;4;3;26;2;5;2;0;0
376;51;No;Travel_Rarely;Sales;14;2;Life Sciences;3;Female;3;Sales Executive;4;Married;4936;4;No;3;3;18;2;7;7;0;7
377;36;No;Travel_Rarely;Research & Development;2;3;Life Sciences;4;Female;3;Research Scientist;3;Married;2543;4;No;3;2;6;3;2;2;2;2
378;34;Yes;Non-Travel;Sales;19;3;Marketing;1;Male;4;Sales Executive;4;Single;5304;8;Yes;3;2;9;3;5;2;0;4
379;55;No;Travel_Rarely;Research & Development;2;3;Life Sciences;3;Female;3;Manager;4;Single;16659;2;Yes;3;3;30;2;5;4;1;2
380;24;No;Travel_Rarely;Sales;10;4;Marketing;4;Female;3;Sales Executive;3;Divorced;4260;1;Yes;3;4;5;2;5;2;0;3
381;30;No;Travel_Rarely;Sales;2;1;Technical Degree;3;Male;3;Sales Representative;2;Married;2476;1;No;3;1;1;3;1;0;0;0
382;26;Yes;Travel_Frequently;Research & Development;3;1;Technical Degree;3;Male;3;Research Scientist;1;Single;3102;0;No;4;3;7;2;6;4;0;4
383;22;No;Travel_Rarely;Research & Development;11;3;Medical;1;Female;3;Research Scientist;2;Married;2244;1;No;3;4;2;1;2;1;1;2
384;36;No;Travel_Rarely;Sales;2;2;Medical;2;Male;2;Sales Executive;3;Married;7596;1;No;3;2;10;2;10;9;9;0
385;30;Yes;Travel_Frequently;Research & Development;4;3;Technical Degree;3;Male;3;Research Scientist;4;Single;2285;9;Yes;4;3;3;4;1;0;0;0
386;37;No;Travel_Rarely;Research & Development;14;3;Life Sciences;4;Female;3;Laboratory Technician;1;Divorced;3034;1;No;3;3;18;2;18;7;12;17
387;40;No;Travel_Rarely;Sales;2;2;Marketing;4;Female;3;Sales Executive;2;Divorced;5715;7;No;3;3;8;5;5;4;1;3
388;42;No;Travel_Rarely;Research & Development;1;4;Life Sciences;2;Female;3;Laboratory Technician;1;Divorced;2576;3;No;3;2;8;5;5;2;1;2
389;37;No;Travel_Rarely;Research & Development;10;4;Life Sciences;3;Male;3;Manufacturing Director;2;Single;4197;2;Yes;3;4;18;2;1;0;0;1
390;43;No;Travel_Rarely;Research & Development;12;3;Life Sciences;1;Male;2;Research Director;2;Divorced;14336;1;No;3;3;25;3;25;10;3;9
391;40;No;Travel_Rarely;Research & Development;2;3;Medical;2;Female;2;Laboratory Technician;3;Married;3448;6;No;4;2;20;3;1;0;0;0
392;54;No;Travel_Rarely;Research & Development;5;2;Medical;1;Male;3;Research Director;1;Married;19406;4;No;3;3;24;4;4;2;1;2
393;34;No;Non-Travel;Sales;4;4;Marketing;3;Female;3;Sales Executive;3;Married;6538;9;No;3;1;6;3;3;2;1;2
394;31;No;Travel_Rarely;Research & Development;7;2;Medical;2;Female;3;Manufacturing Director;1;Married;4306;1;No;3;2;13;5;13;10;3;12
395;43;No;Travel_Frequently;Research & Development;21;3;Medical;4;Male;3;Laboratory Technician;4;Married;2258;7;No;4;1;8;1;3;2;1;2
396;43;No;Travel_Rarely;Research & Development;8;4;Other;3;Female;3;Healthcare Representative;3;Divorced;4522;4;Yes;3;4;8;3;5;2;0;2
397;25;No;Travel_Rarely;Sales;4;2;Life Sciences;2;Female;2;Sales Executive;4;Single;4487;1;Yes;3;2;5;3;5;4;1;3
398;37;No;Non-Travel;Research & Development;25;5;Medical;2;Female;3;Research Scientist;3;Married;4449;3;Yes;3;1;15;2;13;11;10;7
399;31;No;Travel_Rarely;Research & Development;1;2;Life Sciences;4;Male;2;Laboratory Technician;1;Married;2218;1;No;3;3;4;3;4;2;3;2
400;39;No;Travel_Frequently;Research & Development;1;1;Life Sciences;2;Male;3;Manager;3;Divorced;19197;1;Yes;3;3;21;3;21;8;1;6
401;56;No;Travel_Frequently;Sales;6;3;Life Sciences;3;Female;4;Sales Executive;1;Married;13212;9;No;3;4;36;0;7;7;7;7
402;30;No;Travel_Rarely;Sales;12;3;Technical Degree;2;Female;3;Sales Executive;3;Single;6577;0;No;3;2;6;6;5;4;4;4
403;41;No;Travel_Rarely;Sales;1;3;Marketing;2;Male;4;Sales Executive;1;Married;8392;1;No;3;3;10;2;10;7;0;7
404;28;No;Travel_Rarely;Research & Development;17;2;Medical;3;Male;3;Laboratory Technician;1;Divorced;4558;1;No;3;4;10;2;10;0;1;8
405;25;Yes;Travel_Rarely;Research & Development;3;3;Medical;1;Male;3;Laboratory Technician;1;Married;4031;5;No;3;3;6;5;2;2;0;2
406;52;No;Travel_Rarely;Research & Development;3;3;Medical;4;Male;2;Manufacturing Director;3;Married;7969;2;Yes;3;3;28;4;5;4;0;4
407;45;No;Travel_Rarely;Research & Development;10;2;Life Sciences;1;Male;3;Research Scientist;4;Married;2654;3;No;4;4;8;3;2;2;0;2
408;52;No;Travel_Rarely;Research & Development;4;2;Life Sciences;4;Female;3;Manager;4;Married;16555;2;No;3;4;31;2;5;2;1;4
409;42;No;Travel_Frequently;Research & Development;29;2;Life Sciences;1;Female;3;Research Scientist;3;Divorced;4556;2;No;3;2;19;3;5;4;0;2
410;30;No;Travel_Rarely;Research & Development;2;3;Life Sciences;3;Female;1;Manufacturing Director;4;Single;6091;2;No;4;3;11;2;5;4;0;2
411;60;No;Travel_Rarely;Research & Development;7;3;Life Sciences;1;Female;3;Manager;1;Married;19566;5;No;3;4;33;5;29;8;11;10
412;46;No;Travel_Rarely;Research & Development;18;3;Medical;3;Female;3;Manufacturing Director;3;Divorced;4810;2;No;3;3;19;5;10;7;0;8
413;42;No;Travel_Frequently;Research & Development;28;4;Technical Degree;4;Female;2;Healthcare Representative;4;Married;4523;0;No;3;4;7;4;6;5;0;4
414;24;Yes;Travel_Rarely;Sales;1;1;Technical Degree;1;Female;3;Sales Representative;2;Single;3202;1;Yes;3;2;6;4;5;3;1;4
415;34;Yes;Travel_Frequently;Sales;6;2;Marketing;4;Female;1;Sales Representative;3;Divorced;2351;0;No;3;4;3;3;2;2;1;0
416;38;No;Travel_Frequently;Research & Development;2;2;Life Sciences;4;Male;3;Laboratory Technician;4;Married;1702;1;Yes;4;3;1;3;1;0;0;0
417;40;No;Travel_Rarely;Sales;2;4;Life Sciences;3;Female;3;Manager;3;Married;18041;0;No;3;4;21;2;20;15;1;12
418;26;No;Travel_Rarely;Research & Development;23;3;Life Sciences;1;Female;3;Research Scientist;4;Divorced;2886;1;No;4;2;3;3;3;2;0;2
419;30;No;Non-Travel;Research & Development;3;3;Life Sciences;3;Male;3;Laboratory Technician;4;Married;2097;4;No;3;3;9;3;5;3;1;4
420;29;No;Travel_Rarely;Research & Development;3;4;Medical;2;Male;2;Research Director;3;Married;11935;1;No;3;3;10;2;10;2;0;7
421;29;Yes;Travel_Rarely;Research & Development;25;5;Technical Degree;3;Female;2;Research Scientist;2;Married;2546;5;No;3;2;6;2;2;2;1;1
422;19;Yes;Travel_Rarely;Human Resources;2;2;Technical Degree;1;Male;2;Human Resources;4;Single;2564;1;No;3;3;1;3;1;0;0;0
423;30;No;Non-Travel;Sales;22;4;Other;3;Female;3;Sales Executive;1;Married;8412;0;No;3;3;10;3;9;8;7;8
424;57;No;Travel_Rarely;Sales;29;3;Marketing;1;Male;2;Manager;4;Divorced;14118;3;No;3;3;32;3;1;0;0;0
425;50;No;Travel_Rarely;Research & Development;29;4;Life Sciences;2;Male;2;Manager;3;Married;17046;0;No;3;2;28;2;27;10;15;7
426;30;No;Non-Travel;Research & Development;2;3;Medical;3;Female;3;Laboratory Technician;4;Single;2564;0;No;3;3;12;2;11;7;6;7
427;60;No;Travel_Frequently;Sales;28;3;Marketing;3;Female;2;Sales Executive;1;Married;10266;4;No;3;4;22;5;18;13;13;11
428;47;No;Travel_Rarely;Research & Development;2;2;Medical;1;Female;3;Manufacturing Director;4;Divorced;5070;5;No;3;3;20;2;5;0;0;4
429;46;No;Travel_Rarely;Research & Development;2;3;Life Sciences;1;Male;3;Research Director;3;Married;17861;6;No;3;3;26;2;3;2;0;1
430;35;No;Travel_Rarely;Research & Development;22;3;Life Sciences;4;Male;1;Laboratory Technician;3;Single;4230;0;No;3;3;6;2;5;4;4;3
431;54;No;Travel_Rarely;Research & Development;8;4;Life Sciences;3;Female;3;Laboratory Technician;3;Single;3780;7;No;3;3;19;3;1;0;0;0
432;34;No;Travel_Rarely;Research & Development;2;4;Life Sciences;4;Male;2;Research Scientist;3;Divorced;2768;3;No;3;3;14;3;7;3;5;7
433;46;No;Travel_Rarely;Sales;10;3;Marketing;3;Female;2;Sales Executive;4;Married;9071;2;Yes;3;3;15;3;3;2;1;2
434;31;No;Travel_Rarely;Research & Development;9;1;Life Sciences;3;Male;3;Manufacturing Director;2;Divorced;10648;1;No;4;4;13;6;13;8;0;8
435;33;Yes;Travel_Rarely;Research & Development;15;1;Medical;2;Male;3;Manager;3;Married;13610;7;Yes;3;4;15;2;7;6;7;7
436;33;Yes;Travel_Rarely;Research & Development;10;1;Medical;1;Male;1;Laboratory Technician;4;Divorced;3408;7;No;3;1;8;2;4;3;1;3
437;30;No;Travel_Rarely;Sales;7;1;Marketing;4;Male;3;Sales Representative;2;Single;2983;0;No;3;1;4;3;3;2;1;2
438;35;No;Travel_Rarely;Research & Development;16;3;Life Sciences;4;Male;3;Healthcare Representative;3;Married;7632;4;Yes;3;3;10;2;8;7;0;0
439;31;Yes;Travel_Frequently;Research & Development;20;3;Life Sciences;1;Male;3;Healthcare Representative;3;Married;9824;3;No;3;1;12;2;1;0;0;0
440;34;Yes;Travel_Frequently;Human Resources;23;3;Human Resources;2;Female;3;Human Resources;1;Divorced;9950;9;Yes;3;3;11;2;3;2;0;2
441;42;No;Travel_Frequently;Research & Development;5;2;Other;2;Male;3;Laboratory Technician;3;Married;2093;4;No;3;4;8;4;2;2;2;0
442;36;No;Non-Travel;Sales;10;4;Medical;2;Male;3;Sales Executive;4;Single;9980;1;No;3;4;10;3;10;3;9;7
443;22;Yes;Travel_Frequently;Research & Development;4;1;Technical Degree;3;Male;2;Laboratory Technician;3;Single;3894;5;No;3;3;4;3;2;2;1;2
444;48;No;Travel_Rarely;Sales;2;5;Marketing;2;Female;3;Sales Executive;4;Married;4051;2;No;3;1;14;2;9;7;6;7
445;55;No;Travel_Rarely;Sales;18;5;Life Sciences;1;Female;3;Manager;2;Single;16835;3;No;4;4;37;2;10;9;7;7
446;41;No;Non-Travel;Sales;10;2;Life Sciences;4;Male;3;Sales Executive;4;Single;6230;7;No;3;4;16;3;14;3;1;10
447;35;No;Travel_Rarely;Sales;1;3;Marketing;2;Male;3;Sales Executive;3;Married;4717;9;No;3;3;15;2;11;9;6;9
448;40;No;Travel_Rarely;Research & Development;6;3;Life Sciences;2;Female;3;Manufacturing Director;3;Single;13237;7;No;3;3;22;3;20;6;5;13
449;39;No;Travel_Frequently;Research & Development;8;1;Life Sciences;3;Female;3;Laboratory Technician;3;Married;3755;1;No;3;1;8;3;8;3;0;7
450;31;No;Travel_Rarely;Sales;2;1;Life Sciences;2;Male;3;Sales Executive;4;Single;6582;4;Yes;3;3;10;2;6;5;0;5
451;42;No;Travel_Rarely;Research & Development;24;3;Medical;4;Male;3;Manufacturing Director;1;Married;7406;1;Yes;4;4;10;5;10;9;5;8
452;45;No;Travel_Rarely;Sales;2;3;Other;4;Male;3;Sales Executive;2;Married;4805;0;No;3;2;9;3;8;7;3;7
453;26;Yes;Travel_Frequently;Human Resources;17;4;Life Sciences;2;Female;3;Human Resources;3;Divorced;2741;0;Yes;3;2;8;2;7;7;1;0
454;29;No;Travel_Rarely;Research & Development;19;3;Technical Degree;4;Male;3;Manufacturing Director;4;Divorced;4262;4;No;3;2;8;2;3;2;1;2
455;33;No;Travel_Rarely;Research & Development;1;5;Medical;1;Female;4;Research Director;3;Divorced;16184;4;No;3;3;10;2;6;1;0;5
456;31;No;Travel_Rarely;Sales;7;3;Life Sciences;3;Male;2;Manager;4;Divorced;11557;9;No;4;3;10;3;5;4;0;1
457;18;Yes;Travel_Frequently;Sales;5;3;Marketing;2;Male;3;Sales Representative;2;Single;1878;1;Yes;3;4;0;3;0;0;0;0
458;40;No;Non-Travel;Sales;28;3;Other;3;Male;1;Sales Executive;1;Divorced;10932;3;No;3;3;20;2;1;0;0;1
459;41;No;Non-Travel;Research & Development;2;4;Other;1;Female;2;Healthcare Representative;3;Single;6811;2;Yes;3;1;10;3;8;7;0;7
460;26;No;Travel_Rarely;Sales;29;2;Medical;1;Male;3;Sales Executive;3;Divorced;4306;5;No;3;1;8;5;0;0;0;0
461;35;No;Travel_Rarely;Sales;1;3;Medical;1;Female;3;Sales Executive;3;Single;4859;1;No;3;4;5;3;5;4;0;3
462;34;No;Travel_Rarely;Sales;21;4;Life Sciences;4;Male;4;Sales Executive;4;Single;5337;1;No;3;4;10;3;10;7;5;7
463;26;Yes;Travel_Rarely;Research & Development;24;3;Technical Degree;3;Male;1;Laboratory Technician;4;Single;2340;1;Yes;3;2;1;3;1;0;0;0
464;37;No;Travel_Rarely;Research & Development;1;3;Technical Degree;2;Female;3;Manufacturing Director;4;Single;7491;4;No;3;4;12;3;6;5;1;2
465;46;No;Travel_Frequently;Research & Development;18;1;Medical;1;Female;3;Healthcare Representative;3;Married;10527;5;No;3;4;28;3;2;2;1;2
466;41;No;Travel_Rarely;Sales;2;5;Life Sciences;2;Female;3;Manager;1;Married;16595;7;No;3;2;22;2;18;16;11;8
467;37;No;Non-Travel;Sales;9;4;Medical;1;Male;3;Sales Executive;2;Divorced;8834;1;No;3;4;9;6;9;5;7;7
468;52;No;Travel_Rarely;Research & Development;6;2;Technical Degree;4;Male;3;Research Scientist;1;Divorced;5577;3;Yes;3;2;18;3;10;9;6;9
469;32;Yes;Non-Travel;Sales;11;4;Other;4;Male;4;Sales Executive;3;Married;4707;8;No;3;4;6;2;4;2;1;2
470;24;No;Travel_Frequently;Sales;24;3;Medical;4;Male;3;Sales Representative;4;Married;2400;0;No;3;3;3;3;2;2;2;1
471;38;No;Travel_Rarely;Research & Development;10;3;Medical;3;Female;3;Healthcare Representative;3;Married;9824;3;No;3;3;18;4;1;0;0;0
472;37;No;Travel_Rarely;Research & Development;1;4;Life Sciences;2;Female;3;Manufacturing Director;2;Married;6447;6;No;3;2;8;2;6;5;4;3
473;49;No;Travel_Rarely;Research & Development;18;4;Life Sciences;4;Male;2;Research Director;3;Divorced;19502;1;Yes;3;3;31;5;31;9;0;9
474;24;No;Travel_Rarely;Research & Development;23;3;Medical;2;Male;4;Research Scientist;4;Married;2725;1;Yes;3;2;6;3;6;5;1;4
475;26;No;Travel_Rarely;Sales;28;2;Marketing;1;Male;3;Sales Executive;2;Married;6272;1;No;4;4;6;5;5;3;1;4
476;24;No;Travel_Rarely;Research & Development;17;2;Other;4;Male;2;Laboratory Technician;2;Married;2127;1;No;4;4;1;2;1;0;0;0
477;50;No;Travel_Frequently;Human Resources;3;3;Medical;1;Male;3;Manager;2;Married;18200;1;No;3;3;32;2;32;5;10;7
478;25;No;Travel_Rarely;Sales;13;1;Medical;2;Male;3;Sales Representative;3;Married;2096;1;No;3;3;7;1;7;4;0;6
479;24;Yes;Travel_Frequently;Research & Development;7;3;Life Sciences;1;Female;3;Laboratory Technician;3;Married;2886;1;Yes;3;4;6;4;6;3;1;2
480;30;Yes;Travel_Frequently;Sales;12;4;Life Sciences;2;Male;2;Sales Representative;1;Married;2033;1;No;3;3;1;2;1;0;0;0
481;34;No;Travel_Rarely;Research & Development;1;2;Life Sciences;2;Male;2;Research Scientist;4;Married;3622;1;Yes;3;4;6;3;6;5;1;3
482;31;Yes;Travel_Rarely;Sales;13;4;Medical;2;Male;3;Sales Executive;1;Divorced;4233;2;No;3;3;9;2;3;1;1;2
483;35;No;Travel_Rarely;Research & Development;25;2;Other;1;Male;2;Laboratory Technician;4;Single;3681;4;No;3;4;9;3;3;2;0;2
484;31;No;Travel_Rarely;Sales;6;4;Medical;1;Male;4;Sales Executive;4;Divorced;5460;4;No;4;4;13;4;7;7;5;7
485;27;No;Travel_Rarely;Research & Development;6;4;Medical;1;Female;2;Research Scientist;3;Divorced;2187;0;No;3;3;6;5;5;3;0;3
486;37;No;Travel_Rarely;Sales;2;3;Marketing;4;Male;3;Sales Executive;3;Married;9602;4;Yes;3;3;17;3;3;0;1;0
487;20;No;Travel_Rarely;Research & Development;1;3;Life Sciences;4;Female;2;Research Scientist;2;Single;2836;1;No;3;4;1;0;1;0;0;0
488;42;No;Travel_Rarely;Research & Development;2;4;Life Sciences;3;Female;3;Healthcare Representative;4;Married;4089;1;No;3;2;10;4;10;2;2;2
489;43;No;Travel_Rarely;Research & Development;6;4;Other;2;Male;2;Research Director;4;Divorced;16627;4;Yes;3;3;21;3;1;0;0;0
490;38;No;Travel_Rarely;Research & Development;1;1;Life Sciences;3;Female;3;Research Scientist;1;Single;2619;3;No;3;4;8;3;0;0;0;0
491;43;No;Travel_Frequently;Research & Development;9;5;Medical;4;Male;3;Laboratory Technician;3;Divorced;5679;3;Yes;3;2;10;3;8;7;4;7
492;48;No;Travel_Rarely;Research & Development;1;4;Life Sciences;4;Female;2;Manager;1;Married;15402;7;No;3;1;21;3;3;2;0;2
493;44;No;Travel_Rarely;Human Resources;1;4;Life Sciences;1;Female;2;Human Resources;3;Single;5985;4;No;3;2;10;1;2;2;0;2
494;34;No;Travel_Rarely;Sales;14;3;Technical Degree;3;Female;3;Sales Representative;3;Divorced;2579;1;Yes;3;4;8;3;8;2;0;6
495;27;Yes;Travel_Rarely;Sales;2;1;Marketing;3;Male;3;Sales Representative;1;Divorced;3041;0;No;3;2;5;3;4;3;0;2
496;21;No;Travel_Rarely;Sales;22;1;Technical Degree;3;Male;3;Sales Representative;3;Single;3447;1;No;3;3;3;2;3;2;1;2
497;44;No;Travel_Rarely;Research & Development;3;4;Other;4;Male;3;Manager;4;Married;19513;4;Yes;3;1;26;2;2;2;0;1
498;22;No;Travel_Rarely;Research & Development;6;1;Medical;1;Male;3;Research Scientist;3;Married;2773;0;No;4;4;3;3;2;2;2;2
499;33;No;Travel_Rarely;Sales;8;4;Marketing;3;Male;3;Sales Executive;3;Divorced;7104;0;No;3;4;6;3;5;0;1;2
500;32;No;Travel_Rarely;Research & Development;9;4;Life Sciences;1;Female;3;Research Scientist;4;Married;6322;1;Yes;3;4;6;2;6;4;0;5
501;30;No;Travel_Frequently;Research & Development;3;3;Medical;3;Female;3;Research Scientist;3;Divorced;2083;1;No;4;3;1;2;1;0;0;0
502;53;No;Travel_Rarely;Sales;1;1;Medical;4;Female;3;Sales Executive;1;Single;8381;7;No;4;4;18;2;14;7;8;10
503;34;No;Travel_Rarely;Research & Development;1;5;Life Sciences;2;Male;3;Research Scientist;4;Married;2691;1;No;3;4;10;4;10;9;8;8
504;45;Yes;Travel_Frequently;Sales;26;4;Life Sciences;1;Female;3;Sales Executive;1;Married;4286;2;No;3;4;5;4;1;1;0;0
505;26;No;Travel_Rarely;Research & Development;6;3;Life Sciences;3;Female;3;Laboratory Technician;4;Married;2659;1;Yes;3;3;3;2;3;2;0;2
506;37;No;Travel_Rarely;Research & Development;3;3;Other;3;Male;3;Manufacturing Director;3;Married;9434;1;No;3;3;10;2;10;7;7;8
507;29;No;Travel_Rarely;Sales;3;2;Medical;2;Female;3;Sales Executive;3;Married;5561;1;No;3;1;6;5;6;0;1;2
508;35;No;Travel_Rarely;Research & Development;6;4;Life Sciences;2;Male;1;Research Scientist;4;Single;6646;1;No;3;2;17;3;17;11;11;8
509;33;No;Travel_Frequently;Research & Development;6;3;Life Sciences;3;Male;3;Healthcare Representative;4;Divorced;7725;3;No;4;3;15;2;13;11;4;7
510;54;No;Travel_Rarely;Human Resources;19;4;Medical;3;Male;3;Human Resources;2;Married;10725;2;No;3;3;16;1;9;7;7;1
511;36;No;Travel_Rarely;Research & Development;9;2;Medical;2;Male;2;Manufacturing Director;2;Divorced;8847;2;Yes;3;3;13;2;3;2;0;2
512;27;No;Travel_Rarely;Research & Development;3;4;Medical;1;Male;2;Research Scientist;4;Single;2045;0;No;3;4;5;0;4;2;1;1
513;20;Yes;Travel_Rarely;Research & Development;10;1;Medical;4;Male;3;Research Scientist;3;Single;1009;1;Yes;3;4;1;5;1;0;1;1
514;33;Yes;Travel_Frequently;Research & Development;3;3;Life Sciences;1;Male;3;Research Scientist;1;Single;3348;1;Yes;3;1;10;3;10;8;9;7
515;35;No;Non-Travel;Research & Development;3;3;Life Sciences;3;Male;2;Laboratory Technician;3;Married;1281;1;No;3;3;1;3;1;0;0;0
516;23;No;Travel_Rarely;Research & Development;4;3;Medical;1;Male;4;Research Scientist;1;Married;2819;2;No;3;1;5;3;3;2;0;2
517;25;No;Travel_Rarely;Sales;8;3;Life Sciences;4;Male;4;Sales Executive;2;Married;4851;0;No;4;3;4;4;3;2;1;2
518;38;No;Travel_Rarely;Sales;7;4;Marketing;4;Female;2;Sales Executive;4;Single;4028;0;No;4;1;8;2;7;7;0;5
519;29;No;Travel_Frequently;Research & Development;1;4;Life Sciences;2;Male;1;Research Scientist;4;Divorced;2720;1;No;3;4;10;5;10;7;2;8
520;48;No;Travel_Rarely;Sales;2;1;Marketing;2;Male;4;Sales Executive;2;Married;8120;3;No;3;4;12;3;2;2;2;2
521;27;No;Travel_Frequently;Sales;3;1;Medical;4;Female;4;Sales Executive;4;Divorced;4647;1;Yes;4;2;6;3;6;5;0;4
522;37;No;Travel_Rarely;Research & Development;10;2;Life Sciences;4;Male;4;Research Scientist;4;Single;4680;3;No;3;1;4;2;1;0;0;0
523;50;No;Travel_Rarely;Research & Development;28;1;Medical;4;Male;4;Laboratory Technician;3;Married;3221;1;Yes;3;3;20;3;20;8;3;8
524;34;No;Travel_Rarely;Research & Development;9;3;Medical;4;Female;2;Healthcare Representative;2;Single;8621;1;No;3;2;9;3;8;7;7;7
525;24;Yes;Travel_Rarely;Sales;3;2;Life Sciences;1;Female;3;Sales Executive;3;Single;4577;9;No;3;1;4;3;2;2;2;0
526;39;No;Travel_Rarely;Research & Development;2;4;Technical Degree;4;Female;2;Healthcare Representative;3;Single;4553;1;No;3;1;20;4;20;7;11;10
527;32;No;Travel_Rarely;Sales;10;3;Marketing;4;Male;3;Sales Executive;4;Single;5396;1;No;3;4;10;2;10;7;0;8
528;50;Yes;Travel_Frequently;Sales;8;2;Technical Degree;2;Male;3;Sales Executive;3;Married;6796;3;Yes;3;1;18;4;4;3;1;3
529;38;No;Travel_Rarely;Research & Development;1;4;Life Sciences;2;Female;4;Healthcare Representative;4;Single;7625;0;No;3;3;10;4;9;7;1;8
530;27;No;Travel_Rarely;Research & Development;1;2;Life Sciences;3;Female;3;Manufacturing Director;1;Married;7412;1;No;3;4;9;3;9;7;0;7
531;32;No;Travel_Rarely;Research & Development;3;2;Life Sciences;3;Female;3;Research Director;4;Single;11159;3;No;3;4;10;6;7;7;7;7
532;47;No;Travel_Rarely;Sales;14;4;Marketing;4;Male;3;Sales Executive;1;Single;4960;2;No;3;4;20;2;7;7;1;7
533;40;No;Travel_Frequently;Sales;5;4;Life Sciences;4;Male;2;Sales Executive;1;Married;10475;5;Yes;4;3;20;2;18;13;1;12
534;53;No;Travel_Rarely;Research & Development;7;3;Life Sciences;3;Male;4;Research Director;3;Married;14814;3;No;3;3;32;3;5;1;1;3
535;41;No;Travel_Rarely;Human Resources;10;4;Human Resources;2;Male;2;Manager;4;Divorced;19141;3;No;3;2;23;2;21;6;12;6
536;60;No;Travel_Rarely;Sales;16;4;Marketing;1;Male;3;Sales Executive;1;Single;5405;8;No;3;4;10;1;2;2;2;2
537;27;No;Travel_Frequently;Research & Development;10;2;Life Sciences;4;Male;3;Manufacturing Director;1;Divorced;8793;1;No;4;3;9;4;9;7;1;7
538;41;No;Travel_Rarely;Human Resources;1;3;Human Resources;4;Male;2;Manager;3;Married;19189;1;No;3;2;22;3;22;7;2;10
539;50;No;Travel_Rarely;Sales;8;4;Marketing;4;Male;3;Sales Representative;2;Married;3875;7;No;3;4;4;2;2;2;2;2
540;28;Yes;Travel_Rarely;Research & Development;1;2;Life Sciences;1;Female;1;Research Scientist;2;Single;2216;7;Yes;3;4;10;4;7;7;3;7
541;36;No;Non-Travel;Research & Development;8;3;Life Sciences;1;Female;4;Research Director;1;Married;11713;9;No;3;1;10;2;8;7;0;5
542;38;No;Travel_Rarely;Research & Development;1;3;Life Sciences;3;Female;3;Manufacturing Director;3;Single;7861;4;Yes;3;4;10;4;1;0;0;0
543;44;No;Non-Travel;Research & Development;24;3;Medical;1;Male;1;Laboratory Technician;3;Single;3708;2;No;3;3;9;5;5;2;1;4
544;47;No;Travel_Frequently;Sales;3;3;Medical;4;Female;3;Sales Executive;3;Divorced;13770;9;Yes;3;4;28;2;22;2;11;13
